id,cycle_time_days,material_type,tool_wear_level,clean_room_pressure,layer_thickness_nm,chemical_concentration,etching_voltage,deposition_rate,humidity_level,photoresist_thickness_variation,etching_uniformity,particle_count,doping_concentration,product_defect
QJ-91472,64,0,4,155,325.0,0,0,145,0,1.2,2,0.0,3.0,0
PC-86982,57,1,4,110,239.0,0,0,120,1,3.0,2,1.0,7.0,1
OO-98895,50,0,3,120,248.0,0,0,154,0,0.3,2,0.0,3.0,0
GO-90966,54,0,4,123,209.0,0,0,143,1,0.8,1,0.0,3.0,0
ZS-55860,69,1,3,130,208.0,0,0,146,0,0.4,2,1.0,3.0,0
EN-09620,44,0,3,138,234.0,0,0,162,0,0.0,1,0.0,7.0,0
MV-30991,46,1,4,150,315.0,0,0,147,1,1.0,2,0.0,7.0,1
MQ-69856,48,1,4,122,243.0,0,0,166,0,1.0,1,0.0,7.0,1
KW-30090,58,1,2,146,176.0,0,0,169,0,0.0,1,1.0,7.0,0
YJ-32877,59,1,4,140,206.0,1,0,132,1,2.2,2,3.0,7.0,1
UA-60770,43,0,2,122,209.0,0,0,178,0,0.6,1,0.0,3.0,0
NK-06469,65,1,4,110,281.0,0,2,151,1,0.1,2,0.0,7.0,1
QJ-13433,53,1,3,128,223.0,0,2,139,1,0.4,2,0.0,3.0,0
UZ-27146,62,1,4,140,330.0,0,2,132,0,2.4,2,0.0,6.0,1
HX-22765,41,1,4,132,167.0,1,0,186,0,0.0,1,0.0,3.0,0
KT-41389,50,1,2,130,200.0,0,0,165,0,0.0,1,,3.0,0
WD-06070,63,0,4,140,294.0,0,2,161,1,0.0,1,0.0,3.0,0
CT-96492,52,1,4,128,282.0,0,2,122,1,3.6,2,3.0,7.0,1
BD-99991,57,1,2,140,221.0,1,0,152,0,3.1,3,0.0,7.0,1
FQ-57198,77,0,4,140,269.0,0,0,160,1,1.6,1,0.0,3.0,1
RM-03847,46,1,1,122,311.0,0,0,172,0,1.2,2,0.0,7.0,0
CB-07971,61,0,3,120,248.0,0,0,134,0,0.0,1,0.0,3.0,0
LX-62301,57,1,4,152,207.0,0,0,148,1,0.4,2,1.0,7.0,0
LA-05092,46,1,4,112,303.0,0,0,181,0,0.8,2,0.0,3.0,0
NO-73390,64,1,2,152,193.0,0,0,171,0,1.6,1,0.0,3.0,0
OA-94368,54,1,4,140,353.0,0,0,112,1,3.4,2,3.0,6.0,1
FM-77202,56,1,4,120,207.0,0,0,105,0,2.0,2,1.0,,1
OY-87555,51,1,4,130,243.0,0,0,163,0,0.6,2,0.0,7.0,1
VE-49122,59,0,4,145,241.0,0,0,157,0,1.4,1,0.0,,1
OM-70078,66,1,4,120,237.0,0,2,147,0,0.4,2,,7.0,1
JP-01582,64,1,1,140,254.0,1,0,164,0,0.9,3,1.0,6.0,1
ZW-09038,67,1,4,120,248.0,0,2,162,0,0.0,1,0.0,7.0,1
BQ-24074,43,1,4,102,290.0,0,2,143,0,0.3,1,0.0,3.0,0
UU-02985,44,1,2,110,197.0,0,0,173,0,0.0,1,0.0,3.0,0
FC-27231,68,0,3,140,197.0,1,1,120,0,0.0,1,1.0,3.0,1
